"X" "Y" "Diameter" "Observer" "Image"
2652.73 -2145.56 21.5431 "Antonenko1" "NAC"
1568.92 -1719.58 21.5801 "Antonenko1" "NAC"
3247.86 -182.823 21.5835 "Antonenko1" "NAC"
3872.02 -1067.13 21.5936 "Antonenko1" "NAC"
1428.61 -2177.91 21.671 "Antonenko1" "NAC"
2889.81 -166.647 21.6911 "Antonenko1" "NAC"
2464.03 -883.8 21.7382 "Antonenko1" "NAC"
717.354 -1822.03 21.7635 "Antonenko1" "NAC"
3334.95 -614.193 21.8055 "Antonenko1" "NAC"
3049.48 -1325.95 21.8475 "Antonenko1" "NAC"
775.415 -2037.72 21.8728 "Antonenko1" "NAC"
3301.08 -1088.7 21.8913 "Antonenko1" "NAC"
760.9 -484.782 21.893 "Antonenko1" "NAC"
3557.52 -1875.95 21.893 "Antonenko1" "NAC"
3543 -452.429 21.903 "Antonenko1" "NAC"
3291.41 -1034.78 21.9081 "Antonenko1" "NAC"
577.039 -1935.26 21.9148 "Antonenko1" "NAC"
2570.48 -242.136 21.9501 "Antonenko1" "NAC"
1772.13 -1886.74 22.0157 "Antonenko1" "NAC"
1651.17 -964.682 22.0594 "Antonenko1" "NAC"
2435 -1951.44 22.0611 "Antonenko1" "NAC"
3252.7 -1293.6 22.1116 "Antonenko1" "NAC"
83.5178 -403.9 22.1385 "Antonenko1" "NAC"
1767.3 -1498.5 22.1402 "Antonenko1" "NAC"
1830.2 -193.607 22.1788 "Antonenko1" "NAC"
1835.03 -1843.6 22.1957 "Antonenko1" "NAC"
3601.07 -899.976 22.2125 "Antonenko1" "NAC"
4017.17 -635.762 22.2142 "Antonenko1" "NAC"
1027.01 -517.135 22.2327 "Antonenko1" "NAC"
2623.7 -2210.26 22.2394 "Antonenko1" "NAC"
2604.35 -225.96 22.2747 "Antonenko1" "NAC"
1510.86 -1773.5 22.2966 "Antonenko1" "NAC"
3039.81 -1854.38 22.2966 "Antonenko1" "NAC"
1994.7 -527.919 22.3756 "Antonenko1" "NAC"
2497.9 -873.015 22.3823 "Antonenko1" "NAC"
3122.06 -743.604 22.4042 "Antonenko1" "NAC"
1467.31 -840.663 22.4092 "Antonenko1" "NAC"
1177.01 -1379.88 22.4429 "Antonenko1" "NAC"
1486.67 -1460.76 22.4547 "Antonenko1" "NAC"
267.379 -409.292 22.4664 "Antonenko1" "NAC"
1704.4 -668.115 22.4832 "Antonenko1" "NAC"
567.362 -1476.93 22.5068 "Antonenko1" "NAC"
770.577 -899.976 22.5438 "Antonenko1" "NAC"
107.71 -1433.8 22.5539 "Antonenko1" "NAC"
2952.71 -155.862 22.5741 "Antonenko1" "NAC"
1994.7 -1870.56 22.638 "Antonenko1" "NAC"
1902.77 -236.744 22.6918 "Antonenko1" "NAC"
702.839 -743.604 22.6935 "Antonenko1" "NAC"
2662.41 -937.721 22.7338 "Antonenko1" "NAC"
3320.44 -533.311 22.7675 "Antonenko1" "NAC"
1346.35 -899.976 22.7775 "Antonenko1" "NAC"
2478.55 -641.154 22.786 "Antonenko1" "NAC"
2570.48 -1627.91 22.8179 "Antonenko1" "NAC"
2367.26 -1730.36 22.828 "Antonenko1" "NAC"
1399.57 -1606.35 22.8515 "Antonenko1" "NAC"
1273.77 -328.41 22.8566 "Antonenko1" "NAC"
441.563 -1573.99 22.9272 "Antonenko1" "NAC"
2270.49 -1649.48 22.9625 "Antonenko1" "NAC"
2391.46 -878.408 22.9894 "Antonenko1" "NAC"
3688.16 -1730.36 22.9995 "Antonenko1" "NAC"
1428.61 -2043.11 23.0214 "Antonenko1" "NAC"
3238.18 -2016.15 23.0264 "Antonenko1" "NAC"
1220.55 -1029.39 23.0365 "Antonenko1" "NAC"
2168.89 -926.937 23.0433 "Antonenko1" "NAC"
649.616 -1218.11 23.0971 "Antonenko1" "NAC"
2464.03 -371.547 23.1374 "Antonenko1" "NAC"
1926.96 -1557.82 23.1728 "Antonenko1" "NAC"
823.8 -2005.36 23.2283 "Antonenko1" "NAC"
2676.92 -1665.66 23.3292 "Antonenko1" "NAC"
2943.04 -910.76 23.3342 "Antonenko1" "NAC"
2734.98 -1708.8 23.3662 "Antonenko1" "NAC"
1926.96 -1331.35 23.3695 "Antonenko1" "NAC"
2464.03 -177.431 23.4284 "Antonenko1" "NAC"
2207.59 -452.429 23.4906 "Antonenko1" "NAC"
4036.53 -1762.72 23.5041 "Antonenko1" "NAC"
2497.9 -851.447 23.5057 "Antonenko1" "NAC"
262.54 -808.31 23.5949 "Antonenko1" "NAC"
2565.64 -916.152 23.6958 "Antonenko1" "NAC"
2676.92 -673.507 23.7345 "Antonenko1" "NAC"
252.863 -1471.54 23.753 "Antonenko1" "NAC"
3775.25 -651.938 23.7698 "Antonenko1" "NAC"
1607.63 -301.45 23.8169 "Antonenko1" "NAC"
1622.14 -2140.17 23.8185 "Antonenko1" "NAC"
1607.63 -2215.66 23.8589 "Antonenko1" "NAC"
1486.67 -382.332 23.9043 "Antonenko1" "NAC"
1762.46 -285.273 23.9245 "Antonenko1" "NAC"
867.346 -1325.95 23.9649 "Antonenko1" "NAC"
1825.36 -42.6275 23.9867 "Antonenko1" "NAC"
1457.64 -1239.68 24.0103 "Antonenko1" "NAC"
480.27 -1838.21 24.0489 "Antonenko1" "NAC"
3668.8 -2021.54 24.0691 "Antonenko1" "NAC"
398.017 -1196.54 24.0876 "Antonenko1" "NAC"
3489.78 -1342.13 24.1196 "Antonenko1" "NAC"
3789.77 -490.174 24.1297 "Antonenko1" "NAC"
973.791 -1433.8 24.1801 "Antonenko1" "NAC"
3368.82 -296.058 24.1969 "Antonenko1" "NAC"
3755.9 -1692.62 24.2575 "Antonenko1" "NAC"
3189.8 -69.5882 24.2894 "Antonenko1" "NAC"
2251.14 -786.741 24.3046 "Antonenko1" "NAC"
1399.57 -716.644 24.3163 "Antonenko1" "NAC"
3659.13 -177.431 24.3214 "Antonenko1" "NAC"
3572.04 -1363.7 24.3449 "Antonenko1" "NAC"
1975.35 -948.505 24.4088 "Antonenko1" "NAC"
3988.14 -1137.23 24.4189 "Antonenko1" "NAC"
3102.71 -921.545 24.5114 "Antonenko1" "NAC"
983.468 -997.034 24.5367 "Antonenko1" "NAC"
770.577 -1336.74 24.5753 "Antonenko1" "NAC"
1278.61 -1104.88 24.614 "Antonenko1" "NAC"
3025.29 -1547.03 24.6325 "Antonenko1" "NAC"
2565.64 -506.351 24.6544 "Antonenko1" "NAC"
1859.23 -1956.83 24.6695 "Antonenko1" "NAC"
2193.08 -797.526 24.7233 "Antonenko1" "NAC"
678.646 -48.0197 24.7301 "Antonenko1" "NAC"
3954.27 -916.152 24.7401 "Antonenko1" "NAC"
3838.15 -463.214 24.7452 "Antonenko1" "NAC"
3001.1 -662.722 24.7469 "Antonenko1" "NAC"
4060.72 -624.978 24.7906 "Antonenko1" "NAC"
1980.19 -15.6669 24.7973 "Antonenko1" "NAC"
3663.97 -312.234 24.8091 "Antonenko1" "NAC"
2788.21 -209.784 24.8192 "Antonenko1" "NAC"
2768.85 -1875.95 24.8511 "Antonenko1" "NAC"
3934.92 -1999.97 24.8898 "Antonenko1" "NAC"
1341.51 -2016.15 24.905 "Antonenko1" "NAC"
1089.91 -366.155 24.91 "Antonenko1" "NAC"
344.794 -598.017 24.9907 "Antonenko1" "NAC"
1912.45 -1795.07 25.0698 "Antonenko1" "NAC"
935.084 -775.957 25.1068 "Antonenko1" "NAC"
2749.5 -1455.37 25.1135 "Antonenko1" "NAC"
2739.82 -333.803 25.1236 "Antonenko1" "NAC"
2086.63 -1579.38 25.169 "Antonenko1" "NAC"
4046.2 -641.154 25.1774 "Antonenko1" "NAC"
3717.19 -1741.15 25.2043 "Antonenko1" "NAC"
2188.24 -1671.05 25.3153 "Antonenko1" "NAC"
470.593 -1401.44 25.322 "Antonenko1" "NAC"
1089.91 -2053.89 25.3826 "Antonenko1" "NAC"
3373.66 -96.5488 25.3893 "Antonenko1" "NAC"
3470.43 -1347.52 25.4145 "Antonenko1" "NAC"
3426.88 -2177.91 25.4179 "Antonenko1" "NAC"
2744.66 -598.017 25.4549 "Antonenko1" "NAC"
1699.56 -1331.35 25.4902 "Antonenko1" "NAC"
3160.77 -1935.26 25.5507 "Antonenko1" "NAC"
3383.34 -468.606 25.6533 "Antonenko1" "NAC"
151.256 -107.333 25.6853 "Antonenko1" "NAC"
2614.02 -1978.4 25.7341 "Antonenko1" "NAC"
877.023 -2086.24 25.7374 "Antonenko1" "NAC"
1167.33 -899.976 25.761 "Antonenko1" "NAC"
3480.1 -894.584 25.7811 "Antonenko1" "NAC"
3194.64 -829.878 25.8652 "Antonenko1" "NAC"
1099.59 -1325.95 25.872 "Antonenko1" "NAC"
3330.11 -1838.21 25.9258 "Antonenko1" "NAC"
1965.67 -53.4118 25.9712 "Antonenko1" "NAC"
2904.33 -748.996 25.9712 "Antonenko1" "NAC"
310.925 -1530.86 26.0334 "Antonenko1" "NAC"
1781.81 -490.174 26.0973 "Antonenko1" "NAC"
1491.5 -1789.68 26.1192 "Antonenko1" "NAC"
